   BST_find |  BST_insert |     LSA_find |  LSA_insert | 

              1           19280               1               0 

              2           19280               2               0 

              3           19280               3               0 

              3           19280               4               0 

              4           19280               5               0 

              4           19280               6               0 

              5           19280               7               0 

              2           19280               8               0 

              4           19280               9               0 

              5           19280              10               0 

              4           19280              11               0 

              5           19280              12               0 

              6           19280              13               0 

              6           19280              14               0 

              3           19280              15               0 

              5           19280              16               0 

              6           19280              17               0 

              6           19280              18               0 

              6           19280              19               0 

              5           19280              20               0 

              7           19280              21               0 

              7           19280              22               0 

              6           19280              23               0 

              6           19280              24               0 

              4           19280              25               0 

              8           19280              26               0 

              6           19280              27               0 

              6           19280              28               0 

              7           19280              29               0 

              7           19280              30               0 

              7           19280              31               0 

              7           19280              32               0 

              5           19280              33               0 

              3           19280              34               0 

              8           19280              35               0 

              7           19280              36               0 

              7           19280              37               0 

              8           19280              38               0 

              8           19280              39               0 

              5           19280              40               0 

              8           19280              41               0 

              5           19280              42               0 

              7           19280              43               0 

              7           19280              44               0 

              4           19280              45               0 

              7           19280              46               0 

              9           19280              47               0 

              7           19280              48               0 

              4           19280              49               0 

              8           19280              50               0 

              8           19280              51               0 

              6           19280              52               0 

              6           19280              53               0 

              5           19280              54               0 

              6           19280              55               0 

              7           19280              56               0 

              8           19280              57               0 

              8           19280              58               0 

              7           19280              59               0 

              7           19280              60               0 

              9           19280              61               0 

              5           19280              62               0 

              8           19280              63               0 

              9           19280              64               0 

             10           19280              65               0 

              9           19280              66               0 

              6           19280              67               0 

             10           19280              68               0 

              7           19280              69               0 

              9           19280              70               0 

              8           19280              71               0 

              8           19280              72               0 

              9           19280              73               0 

              8           19280              74               0 

             11           19280              75               0 

              7           19280              76               0 

              8           19280              77               0 

              8           19280              78               0 

              7           19280              79               0 

              8           19280              80               0 

              8           19280              81               0 

              8           19280              82               0 

              8           19280              83               0 

              9           19280              84               0 

              9           19280              85               0 

             12           19280              86               0 

              8           19280              87               0 

              4           19280              88               0 

             13           19280              89               0 

              9           19280              90               0 

             14           19280              91               0 

             10           19280              92               0 

             10           19280              93               0 

             13           19280              94               0 

              9           19280              95               0 

              8           19280              96               0 

             10           19280              97               0 

             11           19280              98               0 

              5           19280              99               0 

             10           19280             100               0 

             11           19280             101               0 

              8           19280             102               0 

             12           19280             103               0 

              8           19280             104               0 

             10           19280             105               0 

             11           19280             106               0 

             13           19280             107               0 

              9           19280             108               0 

             11           19280             109               0 

             13           19280             110               0 

              9           19280             111               0 

             14           19280             112               0 

              5           19280             113               0 

             10           19280             114               0 

              9           19280             115               0 

             10           19280             116               0 

             11           19280             117               0 

              7           19280             118               0 

              8           19280             119               0 

              9           19280             120               0 

              6           19280             121               0 

             10           19280             122               0 

              6           19280             123               0 

             15           19280             124               0 

             16           19280             125               0 

              9           19280             126               0 

              8           19280             127               0 

             10           19280             128               0 

              9           19280             129               0 

             12           19280             130               0 

             10           19280             131               0 

              7           19280             132               0 

             10           19280             133               0 

              9           19280             134               0 

              7           19280             135               0 

              6           19280             136               0 

              9           19280             137               0 

             14           19280             138               0 

             15           19280             139               0 

              6           19280             140               0 

              8           19280             141               0 

             12           19280             142               0 

             10           19280             143               0 

              8           19280             144               0 

              9           19280             145               0 

             11           19280             146               0 

             16           19280             147               0 

              9           19280             148               0 

              8           19280             149               0 

             12           19280             150               0 

             14           19280             151               0 

              7           19280             152               0 

             10           19280             153               0 

              9           19280             154               0 

             11           19280             155               0 

             12           19280             156               0 

             17           19280             157               0 

             13           19280             158               0 

              8           19280             159               0 

              9           19280             160               0 

              8           19280             161               0 

             12           19280             162               0 

              7           19280             163               0 

             13           19280             164               0 

              9           19280             165               0 

             10           19280             166               0 

              9           19280             167               0 

             13           19280             168               0 

             10           19280             169               0 

             14           19280             170               0 

             10           19280             171               0 

             11           19280             172               0 

             14           19280             173               0 

              9           19280             174               0 

              9           19280             175               0 

              7           19280             176               0 

             12           19280             177               0 

              8           19280             178               0 

             10           19280             179               0 

             10           19280             180               0 

             10           19280             181               0 

             11           19280             182               0 

             11           19280             183               0 

             14           19280             184               0 

             12           19280             185               0 

              9           19280             186               0 

              8           19280             187               0 

             13           19280             188               0 

              7           19280             189               0 

             10           19280             190               0 

             11           19280             191               0 

             11           19280             192               0 

             10           19280             193               0 

             13           19280             194               0 

             10           19280             195               0 

              8           19280             196               0 

             11           19280             197               0 

             12           19280             198               0 

              9           19280             199               0 

              7           19280             200               0 

             13           19280             201               0 

             14           19280             202               0 

              9           19280             203               0 

             16           19280             204               0 

             11           19280             205               0 

              9           19280             206               0 

             15           19280             207               0 

             18           19280             208               0 

             11           19280             209               0 

             10           19280             210               0 

              9           19280             211               0 

             11           19280             212               0 

             14           19280             213               0 

              8           19280             214               0 

             14           19280             215               0 

             10           19280             216               0 

              9           19280             217               0 

             17           19280             218               0 

             15           19280             219               0 

             14           19280             220               0 

              8           19280             221               0 

             10           19280             222               0 

             11           19280             223               0 

             10           19280             224               0 

              6           19280             225               0 

              7           19280             226               0 

              9           19280             227               0 

             10           19280             228               0 

             11           19280             229               0 

             14           19280             230               0 

              8           19280             231               0 

             15           19280             232               0 

              9           19280             233               0 

             12           19280             234               0 

             16           19280             235               0 

             17           19280             236               0 

             11           19280             237               0 

              9           19280             238               0 

             10           19280             239               0 

              9           19280             240               0 

             11           19280             241               0 

             10           19280             242               0 

              9           19280             243               0 

             12           19280             244               0 

             10           19280             245               0 

              8           19280             246               0 

             13           19280             247               0 

             10           19280             248               0 

             11           19280             249               0 

              7           19280             250               0 

             15           19280             251               0 

              9           19280             252               0 

             13           19280             253               0 

             10           19280             254               0 

              9           19280             255               0 

             15           19280             256               0 

             10           19280             257               0 

             11           19280             258               0 

             10           19280             259               0 

              6           19280             260               0 

             10           19280             261               0 

             12           19280             262               0 

             13           19280             263               0 

             17           19280             264               0 

              9           19280             265               0 

             10           19280             266               0 

              9           19280             267               0 

             10           19280             268               0 

              6           19280             269               0 

             11           19280             270               0 

             16           19280             271               0 

             12           19280             272               0 

             10           19280             273               0 

              9           19280             274               0 

             10           19280             275               0 

             11           19280             276               0 

             11           19280             277               0 

             10           19280             278               0 

              5           19280             279               0 

             14           19280             280               0 

             11           19280             281               0 

             12           19280             282               0 

             18           19280             283               0 

             14           19280             284               0 

             11           19280             285               0 

             12           19280             286               0 

              5           19280             287               0 

             11           19280             288               0 

              8           19280             289               0 

             11           19280             290               0 

             12           19280             291               0 

             10           19280             292               0 

             13           19280             293               0 

             13           19280             294               0 

             14           19280             295               0 

             10           19280             296               0 

             11           19280             297               0 

             10           19280             298               0 

             12           19280             299               0 

              7           19280             300               0 

              8           19280             301               0 

             10           19280             302               0 

              7           19280             303               0 

              9           19280             304               0 

              6           19280             305               0 

             14           19280             306               0 

             11           19280             307               0 

             14           19280             308               0 

             19           19280             309               0 

             11           19280             310               0 

             12           19280             311               0 

             11           19280             312               0 

             12           19280             313               0 

             10           19280             314               0 

             11           19280             315               0 

             10           19280             316               0 

             11           19280             317               0 

              8           19280             318               0 

             14           19280             319               0 

             10           19280             320               0 

             12           19280             321               0 

             10           19280             322               0 

              9           19280             323               0 

             13           19280             324               0 

             19           19280             325               0 

              9           19280             326               0 

             13           19280             327               0 

             16           19280             328               0 

             10           19280             329               0 

             10           19280             330               0 

             12           19280             331               0 

             18           19280             332               0 

             20           19280             333               0 

             11           19280             334               0 

             11           19280             335               0 

             10           19280             336               0 

             11           19280             337               0 

             13           19280             338               0 

             12           19280             339               0 

             16           19280             340               0 

             15           19280             341               0 

             20           19280             342               0 

             10           19280             343               0 

              7           19280             344               0 

             10           19280             345               0 

              9           19280             346               0 

             10           19280             347               0 

             11           19280             348               0 

              8           19280             349               0 

             10           19280             350               0 

             15           19280             351               0 

             11           19280             352               0 

             11           19280             353               0 

             10           19280             354               0 

             12           19280             355               0 

             10           19280             356               0 

              7           19280             357               0 

              9           19280             358               0 

             15           19280             359               0 

             11           19280             360               0 

             11           19280             361               0 

             11           19280             362               0 

             10           19280             363               0 

             12           19280             364               0 

             13           19280             365               0 

             11           19280             366               0 

             11           19280             367               0 

             11           19280             368               0 

             11           19280             369               0 

             15           19280             370               0 

             12           19280             371               0 

             16           19280             372               0 

             12           19280             373               0 

             14           19280             374               0 

             11           19280             375               0 

             17           19280             376               0 

             19           19280             377               0 

             15           19280             378               0 

             11           19280             379               0 

             13           19280             380               0 

             14           19280             381               0 

             11           19280             382               0 

             11           19280             383               0 

             12           19280             384               0 

             11           19280             385               0 

             15           19280             386               0 

             14           19280             387               0 

             15           19280             388               0 

             13           19280             389               0 

              9           19280             390               0 

             15           19280             391               0 

             15           19280             392               0 

             11           19280             393               0 

             13           19280             394               0 

             17           19280             395               0 

             13           19280             396               0 

             11           19280             397               0 

             11           19280             398               0 

              7           19280             399               0 

             13           19280             400               0 

              9           19280             401               0 

             12           19280             402               0 

             16           19280             403               0 

             17           19280             404               0 

             12           19280             405               0 

              7           19280             406               0 

             13           19280             407               0 

             16           19280             408               0 

             13           19280             409               0 

             13           19280             410               0 

              9           19280             411               0 

             14           19280             412               0 

              8           19280             413               0 

             11           19280             414               0 

             11           19280             415               0 

             11           19280             416               0 

             11           19280             417               0 

             18           19280             418               0 

