   BST_find |  BST_insert |     LSA_find |  LSA_insert | 

              1           28845               1               0 

              3           28845               2               0 

              3           28845               3               0 

              5           28845               4               0 

              7           28845               5               0 

              9           28845               6               0 

             11           28845               7               0 

             13           28845               8               0 

             11           28845               9               0 

             13           28845              10               0 

              7           28845              11               0 

             15           28845              12               0 

             15           28845              13               0 

             17           28845              14               0 

             17           28845              15               0 

             19           28845              16               0 

             19           28845              17               0 

              5           28845              18               0 

              7           28845              19               0 

              9           28845              20               0 

              9           28845              21               0 

              9           28845              22               0 

             11           28845              23               0 

             19           28845              24               0 

             21           28845              25               0 

              9           28845              26               0 

             11           28845              27               0 

             17           28845              28               0 

             23           28845              29               0 

             19           28845              30               0 

             25           28845              31               0 

             19           28845              32               0 

             27           28845              33               0 

             11           28845              34               0 

             21           28845              35               0 

             23           28845              36               0 

             11           28845              37               0 

             11           28845              38               0 

             13           28845              39               0 

             21           28845              40               0 

             13           28845              41               0 

             15           28845              42               0 

             17           28845              43               0 

             25           28845              44               0 

             11           28845              45               0 

             17           28845              46               0 

             15           28845              47               0 

             27           28845              48               0 

             13           28845              49               0 

              9           28845              50               0 

             25           28845              51               0 

             13           28845              52               0 

             21           28845              53               0 

             17           28845              54               0 

             15           28845              55               0 

             19           28845              56               0 

             15           28845              57               0 

             13           28845              58               0 

             29           28845              59               0 

             19           28845              60               0 

             13           28845              61               0 

             15           28845              62               0 

             19           28845              63               0 

             21           28845              64               0 

             23           28845              65               0 

             21           28845              66               0 

             29           28845              67               0 

             15           28845              68               0 

             19           28845              69               0 

             27           28845              70               0 

             21           28845              71               0 

             13           28845              72               0 

             15           28845              73               0 

             23           28845              74               0 

             25           28845              75               0 

             13           28845              76               0 

             19           28845              77               0 

             23           28845              78               0 

             25           28845              79               0 

             13           28845              80               0 

             31           28845              81               0 

             23           28845              82               0 

             17           28845              83               0 

             21           28845              84               0 

             13           28845              85               0 

             27           28845              86               0 

             17           28845              87               0 

             23           28845              88               0 

             29           28845              89               0 

             23           28845              90               0 

             17           28845              91               0 

             19           28845              92               0 

             29           28845              93               0 

             21           28845              94               0 

              5           28845              95               0 

             19           28845              96               0 

             25           28845              97               0 

             23           28845              98               0 

             27           28845              99               0 

              5           28845             100               0 

              7           28845             101               0 

              9           28845             102               0 

             11           28845             103               0 

             21           28845             104               0 
