   BST_find |  BST_insert |     LSA_find |  LSA_insert | 

              1           31595               1               0 

              2           31595               2               0 

              3           31595               3               0 

              2           31595               4               0 

              3           31595               5               0 

              4           31595               6               0 

              4           31595               7               0 

              5           31595               8               0 

              5           31595               9               0 

              5           31595              10               0 

              5           31595              11               0 

              6           31595              12               0 

              7           31595              13               0 

              7           31595              14               0 

              4           31595              15               0 

              6           31595              16               0 

              3           31595              17               0 

              6           31595              18               0 

              5           31595              19               0 

              4           31595              20               0 

              7           31595              21               0 

              6           31595              22               0 

              6           31595              23               0 

              8           31595              24               0 

              7           31595              25               0 

              7           31595              26               0 

              7           31595              27               0 

              6           31595              28               0 

              5           31595              29               0 

              7           31595              30               0 

              8           31595              31               0 

              8           31595              32               0 

              9           31595              33               0 

              8           31595              34               0 

              6           31595              35               0 

              9           31595              36               0 

              7           31595              37               0 

              9           31595              38               0 

              8           31595              39               0 

              8           31595              40               0 

             10           31595              41               0 

              9           31595              42               0 

              9           31595              43               0 

              9           31595              44               0 

              9           31595              45               0 

             10           31595              46               0 

             10           31595              47               0 

              9           31595              48               0 

             10           31595              49               0 

             11           31595              50               0 

             11           31595              51               0 

              7           31595              52               0 

              8           31595              53               0 

              7           31595              54               0 

              8           31595              55               0 

              6           31595              56               0 

             12           31595              57               0 

             10           31595              58               0 

             12           31595              59               0 

              8           31595              60               0 

              9           31595              61               0 

              8           31595              62               0 

              7           31595              63               0 

              7           31595              64               0 

             10           31595              65               0 

              9           31595              66               0 

             10           31595              67               0 

              6           31595              68               0 

              7           31595              69               0 

              8           31595              70               0 

              8           31595              71               0 

             12           31595              72               0 

              7           31595              73               0 

             11           31595              74               0 

              8           31595              75               0 

              5           31595              76               0 

              9           31595              77               0 

              8           31595              78               0 

             10           31595              79               0 

              8           31595              80               0 

              4           31595              81               0 

              8           31595              82               0 

             10           31595              83               0 

              9           31595              84               0 

              8           31595              85               0 

              8           31595              86               0 

              9           31595              87               0 

             11           31595              88               0 

              7           31595              89               0 

             10           31595              90               0 

             10           31595              91               0 

              9           31595              92               0 

              9           31595              93               0 

             11           31595              94               0 

              8           31595              95               0 

              6           31595              96               0 

              8           31595              97               0 

             11           31595              98               0 

              7           31595              99               0 

             10           31595             100               0 

             11           31595             101               0 

              9           31595             102               0 

             10           31595             103               0 

              9           31595             104               0 

              9           31595             105               0 

              3           31595             106               0 

             13           31595             107               0 

             10           31595             108               0 

              6           31595             109               0 

             12           31595             110               0 

             11           31595             111               0 

              9           31595             112               0 

             10           31595             113               0 

             12           31595             114               0 

             12           31595             115               0 

              8           31595             116               0 

             11           31595             117               0 

              9           31595             118               0 

             11           31595             119               0 

              9           31595             120               0 

             10           31595             121               0 

             11           31595             122               0 

             10           31595             123               0 

             11           31595             124               0 

              8           31595             125               0 

             11           31595             126               0 

             13           31595             127               0 

              9           31595             128               0 

              6           31595             129               0 

              9           31595             130               0 

             12           31595             131               0 

             10           31595             132               0 

             13           31595             133               0 

             11           31595             134               0 

             12           31595             135               0 

              5           31595             136               0 

             12           31595             137               0 

             11           31595             138               0 

             10           31595             139               0 

             12           31595             140               0 

              9           31595             141               0 

             10           31595             142               0 

             10           31595             143               0 

             11           31595             144               0 

              9           31595             145               0 

              4           31595             146               0 

             10           31595             147               0 

             12           31595             148               0 

             12           31595             149               0 

             12           31595             150               0 

             11           31595             151               0 

             10           31595             152               0 

             10           31595             153               0 

             12           31595             154               0 

             14           31595             155               0 

             13           31595             156               0 

              4           31595             157               0 

              9           31595             158               0 

             13           31595             159               0 

              7           31595             160               0 

             10           31595             161               0 

             11           31595             162               0 

             13           31595             163               0 

             11           31595             164               0 

             12           31595             165               0 

             10           31595             166               0 

              9           31595             167               0 

             12           31595             168               0 

             11           31595             169               0 

             12           31595             170               0 

             10           31595             171               0 

             12           31595             172               0 

             10           31595             173               0 

             12           31595             174               0 

             10           31595             175               0 

             11           31595             176               0 

             13           31595             177               0 

             15           31595             178               0 

             13           31595             179               0 

             12           31595             180               0 

             10           31595             181               0 

              7           31595             182               0 

             11           31595             183               0 

             10           31595             184               0 

              8           31595             185               0 

             13           31595             186               0 

             14           31595             187               0 

             13           31595             188               0 

             12           31595             189               0 

             14           31595             190               0 

              5           31595             191               0 

             11           31595             192               0 

             10           31595             193               0 

              9           31595             194               0 

             10           31595             195               0 

              7           31595             196               0 

             11           31595             197               0 

             12           31595             198               0 

             13           31595             199               0 

              9           31595             200               0 

             11           31595             201               0 

              9           31595             202               0 

             11           31595             203               0 

             13           31595             204               0 

              8           31595             205               0 

             15           31595             206               0 

             13           31595             207               0 

              5           31595             208               0 

              6           31595             209               0 

              7           31595             210               0 

              9           31595             211               0 

             10           31595             212               0 

             12           31595             213               0 

             14           31595             214               0 

             10           31595             215               0 

             12           31595             216               0 

             12           31595             217               0 

              9           31595             218               0 

             10           31595             219               0 

              8           31595             220               0 

             11           31595             221               0 

             11           31595             222               0 

             10           31595             223               0 

             11           31595             224               0 

             11           31595             225               0 

             13           31595             226               0 

              9           31595             227               0 

              4           31595             228               0 

             16           31595             229               0 

             13           31595             230               0 

             17           31595             231               0 

             12           31595             232               0 

             10           31595             233               0 

              8           31595             234               0 

             13           31595             235               0 

             14           31595             236               0 

             11           31595             237               0 

             11           31595             238               0 

             10           31595             239               0 

             10           31595             240               0 

             11           31595             241               0 

             11           31595             242               0 

             11           31595             243               0 

              9           31595             244               0 

             12           31595             245               0 

             12           31595             246               0 

             11           31595             247               0 

             12           31595             248               0 

             14           31595             249               0 

             10           31595             250               0 

             14           31595             251               0 

             10           31595             252               0 

             13           31595             253               0 

             18           31595             254               0 

             13           31595             255               0 

             11           31595             256               0 

             13           31595             257               0 

             12           31595             258               0 

             10           31595             259               0 

             10           31595             260               0 

             10           31595             261               0 

             11           31595             262               0 

             11           31595             263               0 

              9           31595             264               0 

             12           31595             265               0 

             14           31595             266               0 

             12           31595             267               0 

             16           31595             268               0 

             12           31595             269               0 

             11           31595             270               0 

             15           31595             271               0 

             11           31595             272               0 

             12           31595             273               0 

             13           31595             274               0 

             13           31595             275               0 

             12           31595             276               0 

