   BST_find |  BST_insert |     LSA_find |  LSA_insert | 

              1           35870               1               0 

              2           35870               2               0 

              2           35870               3               0 

              3           35870               4               0 

              4           35870               5               0 

              5           35870               6               0 

              3           35870               7               0 

              4           35870               8               0 

              5           35870               9               0 

              6           35870              10               0 

              6           35870              11               0 

              4           35870              12               0 

              5           35870              13               0 

              7           35870              14               0 

              6           35870              15               0 

              7           35870              16               0 

              7           35870              17               0 

              8           35870              18               0 

              5           35870              19               0 

              6           35870              20               0 

              6           35870              21               0 

              7           35870              22               0 

              6           35870              23               0 

              8           35870              24               0 

              8           35870              25               0 

              9           35870              26               0 

              6           35870              27               0 

              8           35870              28               0 

              7           35870              29               0 

              5           35870              30               0 

              6           35870              31               0 

             10           35870              32               0 

              7           35870              33               0 

              3           35870              34               0 

              3           35870              35               0 

             11           35870              36               0 

              7           35870              37               0 

             11           35870              38               0 

             10           35870              39               0 

              7           35870              40               0 

              8           35870              41               0 

              9           35870              42               0 

              9           35870              43               0 

             11           35870              44               0 

              7           35870              45               0 

              8           35870              46               0 

             12           35870              47               0 

             13           35870              48               0 

             12           35870              49               0 

              7           35870              50               0 

              8           35870              51               0 

              8           35870              52               0 

              8           35870              53               0 

             10           35870              54               0 

              8           35870              55               0 

             12           35870              56               0 

              7           35870              57               0 

              8           35870              58               0 

              9           35870              59               0 

              4           35870              60               0 

              9           35870              61               0 

             10           35870              62               0 

              5           35870              63               0 

              7           35870              64               0 

              5           35870              65               0 

             13           35870              66               0 

             11           35870              67               0 

              8           35870              68               0 

              9           35870              69               0 

              8           35870              70               0 

              8           35870              71               0 

              9           35870              72               0 

              7           35870              73               0 

              9           35870              74               0 

              9           35870              75               0 

             10           35870              76               0 

              9           35870              77               0 

              8           35870              78               0 

              9           35870              79               0 

              8           35870              80               0 

              9           35870              81               0 

             11           35870              82               0 

              4           35870              83               0 

             12           35870              84               0 

             11           35870              85               0 

             13           35870              86               0 

              7           35870              87               0 

              9           35870              88               0 

             10           35870              89               0 

             10           35870              90               0 

             13           35870              91               0 

             10           35870              92               0 

             11           35870              93               0 

             12           35870              94               0 

              9           35870              95               0 

              8           35870              96               0 

              9           35870              97               0 

              8           35870              98               0 

              8           35870              99               0 

             10           35870             100               0 

             12           35870             101               0 

              9           35870             102               0 

              8           35870             103               0 

             10           35870             104               0 

              6           35870             105               0 

             10           35870             106               0 

             11           35870             107               0 

              5           35870             108               0 

              6           35870             109               0 

             10           35870             110               0 

              9           35870             111               0 

              9           35870             112               0 

              9           35870             113               0 

              8           35870             114               0 

              7           35870             115               0 

              9           35870             116               0 

             10           35870             117               0 

             14           35870             118               0 

             13           35870             119               0 

             13           35870             120               0 

              9           35870             121               0 

              6           35870             122               0 

              8           35870             123               0 

              9           35870             124               0 

              9           35870             125               0 

              5           35870             126               0 

             11           35870             127               0 

              6           35870             128               0 

              9           35870             129               0 

             10           35870             130               0 

             14           35870             131               0 

              9           35870             132               0 

             12           35870             133               0 

              9           35870             134               0 

             11           35870             135               0 

             11           35870             136               0 

              9           35870             137               0 

              9           35870             138               0 

             14           35870             139               0 

              8           35870             140               0 

              9           35870             141               0 

              6           35870             142               0 

             10           35870             143               0 

             14           35870             144               0 

              9           35870             145               0 

              7           35870             146               0 

             10           35870             147               0 

             10           35870             148               0 

             10           35870             149               0 

             11           35870             150               0 

             11           35870             151               0 

             14           35870             152               0 

             14           35870             153               0 

             11           35870             154               0 

              8           35870             155               0 

             12           35870             156               0 

              4           35870             157               0 

             10           35870             158               0 

             12           35870             159               0 

             11           35870             160               0 

              9           35870             161               0 

             11           35870             162               0 

             12           35870             163               0 

             11           35870             164               0 

              8           35870             165               0 

             13           35870             166               0 

             10           35870             167               0 

             12           35870             168               0 

             10           35870             169               0 

              9           35870             170               0 

             12           35870             171               0 

             10           35870             172               0 

             11           35870             173               0 

