   BST_find |  BST_insert |     LSA_find |  LSA_insert | 

              1           11148               1               0 

              2           11148               2               0 

              2           11148               3               0 

              3           11148               4               0 

              3           11148               5               0 

              3           11148               6               0 

              3           11148               7               0 

              4           11148               8               0 

              4           11148               9               0 

              4           11148              10               0 

              5           11148              11               0 

              4           11148              12               0 

              4           11148              13               0 

              5           11148              14               0 

              5           11148              15               0 

              4           11148              16               0 

              5           11148              17               0 

              5           11148              18               0 

              5           11148              19               0 

              4           11148              20               0 

              6           11148              21               0 

              6           11148              22               0 

              5           11148              23               0 

              5           11148              24               0 

              5           11148              25               0 

              6           11148              26               0 

              6           11148              27               0 

              7           11148              28               0 

              7           11148              29               0 

              4           11148              30               0 

              6           11148              31               0 

              6           11148              32               0 

              6           11148              33               0 

              7           11148              34               0 

              6           11148              35               0 

              7           11148              36               0 

              5           11148              37               0 

              6           11148              38               0 

              5           11148              39               0 

              7           11148              40               0 

              5           11148              41               0 

              7           11148              42               0 

              8           11148              43               0 

              5           11148              44               0 

              7           11148              45               0 

              6           11148              46               0 

              7           11148              47               0 

              7           11148              48               0 

              9           11148              49               0 

              9           11148              50               0 

              8           11148              51               0 

              8           11148              52               0 

              6           11148              53               0 

              6           11148              54               0 

              7           11148              55               0 

              6           11148              56               0 

              8           11148              57               0 

              6           11148              58               0 

              8           11148              59               0 

              7           11148              60               0 

              6           11148              61               0 

              6           11148              62               0 

              7           11148              63               0 

              9           11148              64               0 

              9           11148              65               0 

              9           11148              66               0 

              7           11148              67               0 

              8           11148              68               0 

              7           11148              69               0 

              7           11148              70               0 

              9           11148              71               0 

              9           11148              72               0 

              8           11148              73               0 

              5           11148              74               0 

              7           11148              75               0 

              8           11148              76               0 

              8           11148              77               0 

             10           11148              78               0 

              8           11148              79               0 

              6           11148              80               0 

              9           11148              81               0 

              9           11148              82               0 

              6           11148              83               0 

              6           11148              84               0 

              7           11148              85               0 

             10           11148              86               0 

              7           11148              87               0 

              8           11148              88               0 

              5           11148              89               0 

              7           11148              90               0 

             10           11148              91               0 

              8           11148              92               0 

             10           11148              93               0 

             10           11148              94               0 

              8           11148              95               0 

              8           11148              96               0 

              9           11148              97               0 

              8           11148              98               0 

              6           11148              99               0 

             10           11148             100               0 

              9           11148             101               0 

             10           11148             102               0 

              6           11148             103               0 

             11           11148             104               0 

              7           11148             105               0 

              8           11148             106               0 

              9           11148             107               0 

             11           11148             108               0 

             10           11148             109               0 

              9           11148             110               0 

              9           11148             111               0 

              9           11148             112               0 

              8           11148             113               0 

             10           11148             114               0 

             11           11148             115               0 

              9           11148             116               0 

              6           11148             117               0 

              9           11148             118               0 

             10           11148             119               0 

              7           11148             120               0 

             12           11148             121               0 

             10           11148             122               0 

             10           11148             123               0 

              6           11148             124               0 

              8           11148             125               0 

              6           11148             126               0 

             11           11148             127               0 

              6           11148             128               0 

              9           11148             129               0 

              9           11148             130               0 

              8           11148             131               0 

              7           11148             132               0 

             12           11148             133               0 

             10           11148             134               0 

             12           11148             135               0 

              8           11148             136               0 

             10           11148             137               0 

             11           11148             138               0 

             10           11148             139               0 

              7           11148             140               0 

             10           11148             141               0 

              9           11148             142               0 

             10           11148             143               0 

              8           11148             144               0 

              9           11148             145               0 

             10           11148             146               0 

              9           11148             147               0 

              7           11148             148               0 

             10           11148             149               0 

              9           11148             150               0 

             10           11148             151               0 

             11           11148             152               0 

             10           11148             153               0 

              7           11148             154               0 

             11           11148             155               0 

             10           11148             156               0 

             11           11148             157               0 

             10           11148             158               0 

             11           11148             159               0 

              7           11148             160               0 

              9           11148             161               0 

              7           11148             162               0 

             10           11148             163               0 

             11           11148             164               0 

             11           11148             165               0 

             12           11148             166               0 

              8           11148             167               0 

             13           11148             168               0 

              8           11148             169               0 

             14           11148             170               0 

             11           11148             171               0 

              7           11148             172               0 

             11           11148             173               0 

              8           11148             174               0 

             12           11148             175               0 

              7           11148             176               0 

              7           11148             177               0 

              8           11148             178               0 

             10           11148             179               0 

              9           11148             180               0 

             10           11148             181               0 

              8           11148             182               0 

              8           11148             183               0 

             10           11148             184               0 

             10           11148             185               0 

             11           11148             186               0 

             11           11148             187               0 

             12           11148             188               0 

              9           11148             189               0 

             12           11148             190               0 

             11           11148             191               0 

             11           11148             192               0 

             13           11148             193               0 

             11           11148             194               0 

             11           11148             195               0 

             12           11148             196               0 

             11           11148             197               0 

             14           11148             198               0 

             12           11148             199               0 

              8           11148             200               0 

             12           11148             201               0 

              9           11148             202               0 

             13           11148             203               0 

              8           11148             204               0 

              9           11148             205               0 

             10           11148             206               0 

              9           11148             207               0 

             12           11148             208               0 

             12           11148             209               0 

             12           11148             210               0 

              6           11148             211               0 

             12           11148             212               0 

             12           11148             213               0 

              8           11148             214               0 

              7           11148             215               0 

             10           11148             216               0 

              8           11148             217               0 

             11           11148             218               0 

             12           11148             219               0 

             12           11148             220               0 

             11           11148             221               0 

             11           11148             222               0 

              9           11148             223               0 

              9           11148             224               0 

             13           11148             225               0 

              7           11148             226               0 

             13           11148             227               0 

             11           11148             228               0 

             12           11148             229               0 

              9           11148             230               0 

             12           11148             231               0 

             15           11148             232               0 

             12           11148             233               0 

              9           11148             234               0 

              8           11148             235               0 

             10           11148             236               0 

              9           11148             237               0 

             13           11148             238               0 

             13           11148             239               0 

             10           11148             240               0 

             11           11148             241               0 

              8           11148             242               0 

             11           11148             243               0 

             11           11148             244               0 

              8           11148             245               0 

              6           11148             246               0 

             10           11148             247               0 

             14           11148             248               0 

              9           11148             249               0 

              9           11148             250               0 

             13           11148             251               0 

              8           11148             252               0 

             11           11148             253               0 

              7           11148             254               0 

             11           11148             255               0 

             14           11148             256               0 

             10           11148             257               0 

             12           11148             258               0 

              9           11148             259               0 

              8           11148             260               0 

             11           11148             261               0 

             11           11148             262               0 

              9           11148             263               0 

              8           11148             264               0 

              8           11148             265               0 

             11           11148             266               0 

              9           11148             267               0 

             11           11148             268               0 

              8           11148             269               0 

              9           11148             270               0 

             12           11148             271               0 

             11           11148             272               0 

              8           11148             273               0 

             11           11148             274               0 

             15           11148             275               0 

             11           11148             276               0 

             10           11148             277               0 

             13           11148             278               0 

              9           11148             279               0 

              9           11148             280               0 

             11           11148             281               0 

             14           11148             282               0 

             13           11148             283               0 

             12           11148             284               0 

             10           11148             285               0 

              7           11148             286               0 

              8           11148             287               0 

              8           11148             288               0 

             13           11148             289               0 

              9           11148             290               0 

              7           11148             291               0 

             13           11148             292               0 

             11           11148             293               0 

             13           11148             294               0 

             13           11148             295               0 

              9           11148             296               0 

              8           11148             297               0 

              9           11148             298               0 

             11           11148             299               0 

             13           11148             300               0 

             15           11148             301               0 

             10           11148             302               0 

              8           11148             303               0 

             10           11148             304               0 

             12           11148             305               0 

             10           11148             306               0 

             12           11148             307               0 

              9           11148             308               0 

             12           11148             309               0 

             10           11148             310               0 

             14           11148             311               0 

              8           11148             312               0 

             13           11148             313               0 

             10           11148             314               0 

             10           11148             315               0 

              8           11148             316               0 

              5           11148             317               0 

             11           11148             318               0 

             12           11148             319               0 

             12           11148             320               0 

              8           11148             321               0 

              6           11148             322               0 

             13           11148             323               0 

             13           11148             324               0 

             10           11148             325               0 

             11           11148             326               0 

             10           11148             327               0 

             10           11148             328               0 

             12           11148             329               0 

             10           11148             330               0 

             15           11148             331               0 

             10           11148             332               0 

              7           11148             333               0 

             10           11148             334               0 

             13           11148             335               0 

             13           11148             336               0 

             12           11148             337               0 

              8           11148             338               0 

             12           11148             339               0 

             11           11148             340               0 

             10           11148             341               0 

              8           11148             342               0 

             13           11148             343               0 

             11           11148             344               0 

              9           11148             345               0 

             11           11148             346               0 

             10           11148             347               0 

             14           11148             348               0 

             14           11148             349               0 

             10           11148             350               0 

             14           11148             351               0 

              7           11148             352               0 

             11           11148             353               0 

             12           11148             354               0 

              9           11148             355               0 

             10           11148             356               0 

              9           11148             357               0 

              9           11148             358               0 

             12           11148             359               0 

             12           11148             360               0 

             13           11148             361               0 

             12           11148             362               0 

             15           11148             363               0 

              9           11148             364               0 

             10           11148             365               0 

              9           11148             366               0 

             11           11148             367               0 

              8           11148             368               0 

              9           11148             369               0 

             11           11148             370               0 

             15           11148             371               0 

              7           11148             372               0 

              6           11148             373               0 

              9           11148             374               0 

             12           11148             375               0 

              9           11148             376               0 

             11           11148             377               0 

             14           11148             378               0 

              9           11148             379               0 

             13           11148             380               0 

             12           11148             381               0 

             14           11148             382               0 

             12           11148             383               0 

             12           11148             384               0 

              6           11148             385               0 

              9           11148             386               0 

              7           11148             387               0 

             10           11148             388               0 

             13           11148             389               0 

              9           11148             390               0 

             10           11148             391               0 

             12           11148             392               0 

             13           11148             393               0 

             13           11148             394               0 

              7           11148             395               0 

             13           11148             396               0 

             10           11148             397               0 

             12           11148             398               0 

             14           11148             399               0 

             10           11148             400               0 

             13           11148             401               0 

             12           11148             402               0 

              9           11148             403               0 

             10           11148             404               0 

             11           11148             405               0 

             10           11148             406               0 

             10           11148             407               0 

             11           11148             408               0 

              9           11148             409               0 

              8           11148             410               0 

             12           11148             411               0 

              7           11148             412               0 

             14           11148             413               0 

             13           11148             414               0 

             11           11148             415               0 

             11           11148             416               0 

             10           11148             417               0 

             11           11148             418               0 

             11           11148             419               0 

              9           11148             420               0 

             15           11148             421               0 

             10           11148             422               0 

             13           11148             423               0 

             13           11148             424               0 

             14           11148             425               0 

             12           11148             426               0 

             14           11148             427               0 

             14           11148             428               0 

             14           11148             429               0 

             11           11148             430               0 

             12           11148             431               0 

             11           11148             432               0 

             13           11148             433               0 

             15           11148             434               0 

             16           11148             435               0 

             14           11148             436               0 

              8           11148             437               0 

              9           11148             438               0 

             15           11148             439               0 

              8           11148             440               0 

             10           11148             441               0 

             12           11148             442               0 

             11           11148             443               0 

             15           11148             444               0 

              9           11148             445               0 

             15           11148             446               0 

             14           11148             447               0 

             16           11148             448               0 

             10           11148             449               0 

             10           11148             450               0 

             13           11148             451               0 

             17           11148             452               0 

             16           11148             453               0 

             12           11148             454               0 

             16           11148             455               0 

             11           11148             456               0 

             13           11148             457               0 

              9           11148             458               0 

             12           11148             459               0 

              7           11148             460               0 

             10           11148             461               0 

             15           11148             462               0 

             15           11148             463               0 

             10           11148             464               0 

             12           11148             465               0 

             11           11148             466               0 

             13           11148             467               0 

             11           11148             468               0 

              8           11148             469               0 

             15           11148             470               0 

             14           11148             471               0 

             14           11148             472               0 

              9           11148             473               0 

             11           11148             474               0 

             12           11148             475               0 

             12           11148             476               0 

             12           11148             477               0 

             14           11148             478               0 

              7           11148             479               0 

              9           11148             480               0 

             10           11148             481               0 

             10           11148             482               0 

             14           11148             483               0 

             16           11148             484               0 

             12           11148             485               0 

             10           11148             486               0 

             13           11148             487               0 

             17           11148             488               0 

              9           11148             489               0 

              9           11148             490               0 

             13           11148             491               0 

              7           11148             492               0 

             13           11148             493               0 

              8           11148             494               0 

             12           11148             495               0 

             11           11148             496               0 

             12           11148             497               0 

              8           11148             498               0 

             17           11148             499               0 

             10           11148             500               0 

             10           11148             501               0 

              8           11148             502               0 

             10           11148             503               0 

             11           11148             504               0 

             12           11148             505               0 

             12           11148             506               0 

             14           11148             507               0 

             13           11148             508               0 

             13           11148             509               0 

             12           11148             510               0 

             13           11148             511               0 

             15           11148             512               0 

             12           11148             513               0 

             10           11148             514               0 

             10           11148             515               0 

             12           11148             516               0 

             13           11148             517               0 

              8           11148             518               0 

             12           11148             519               0 

             10           11148             520               0 

             12           11148             521               0 

             11           11148             522               0 

             11           11148             523               0 

             15           11148             524               0 

              8           11148             525               0 

              8           11148             526               0 

             14           11148             527               0 

             14           11148             528               0 

             14           11148             529               0 

