   BST_find |  BST_insert |     LSA_find |  LSA_insert | 

              1            5475               1               0 

              3            5475               2               0 

              3            5475               3               0 

              5            5475               4               0 

              7            5475               5               0 

              9            5475               6               0 

              5            5475               7               0 

             11            5475               8               0 

              7            5475               9               0 

             13            5475              10               0 

              9            5475              11               0 

             11            5475              12               0 

              9            5475              13               0 

              7            5475              14               0 

             15            5475              15               0 

             11            5475              16               0 

             13            5475              17               0 

             13            5475              18               0 

             15            5475              19               0 

             15            5475              20               0 

             15            5475              21               0 

             15            5475              22               0 

             17            5475              23               0 

              9            5475              24               0 

             17            5475              25               0 

             13            5475              26               0 

              5            5475              27               0 

              7            5475              28               0 

             17            5475              29               0 

             17            5475              30               0 

              9            5475              31               0 

             17            5475              32               0 

             11            5475              33               0 

             17            5475              34               0 

             11            5475              35               0 

             19            5475              36               0 

              9            5475              37               0 

             13            5475              38               0 

             19            5475              39               0 

             13            5475              40               0 

             11            5475              41               0 

             17            5475              42               0 

             19            5475              43               0 

             11            5475              44               0 

             13            5475              45               0 

             15            5475              46               0 

              9            5475              47               0 

             19            5475              48               0 

             19            5475              49               0 

             15            5475              50               0 

             15            5475              51               0 

             19            5475              52               0 

             21            5475              53               0 

             19            5475              54               0 

             19            5475              55               0 

             15            5475              56               0 

             21            5475              57               0 

             23            5475              58               0 

             19            5475              59               0 

             21            5475              60               0 

             11            5475              61               0 

             17            5475              62               0 

              7            5475              63               0 

             21            5475              64               0 

             17            5475              65               0 

              7            5475              66               0 

             21            5475              67               0 

             21            5475              68               0 

             11            5475              69               0 

              9            5475              70               0 

             11            5475              71               0 

              9            5475              72               0 

             13            5475              73               0 

             13            5475              74               0 

             11            5475              75               0 

             17            5475              76               0 

              5            5475              77               0 

             23            5475              78               0 

             13            5475              79               0 

             23            5475              80               0 

             11            5475              81               0 

             11            5475              82               0 

             13            5475              83               0 

             23            5475              84               0 

             25            5475              85               0 

             23            5475              86               0 

             13            5475              87               0 

             13            5475              88               0 

             23            5475              89               0 

             15            5475              90               0 

             13            5475              91               0 

             17            5475              92               0 

             19            5475              93               0 

             21            5475              94               0 

             23            5475              95               0 

             17            5475              96               0 

             23            5475              97               0 

             11            5475              98               0 

             15            5475              99               0 

             15            5475             100               0 

             21            5475             101               0 

             21            5475             102               0 

             13            5475             103               0 

             21            5475             104               0 

             25            5475             105               0 

             21            5475             106               0 

             21            5475             107               0 

              9            5475             108               0 

             15            5475             109               0 

             11            5475             110               0 

             17            5475             111               0 

             15            5475             112               0 

             15            5475             113               0 

             13            5475             114               0 

             23            5475             115               0 

             15            5475             116               0 

             19            5475             117               0 

             21            5475             118               0 

             13            5475             119               0 

             25            5475             120               0 

             23            5475             121               0 

             17            5475             122               0 

             23            5475             123               0 

             17            5475             124               0 

             25            5475             125               0 

             17            5475             126               0 

             15            5475             127               0 

             25            5475             128               0 

             15            5475             129               0 

             23            5475             130               0 

             19            5475             131               0 

             17            5475             132               0 

             19            5475             133               0 

             21            5475             134               0 

             21            5475             135               0 

             25            5475             136               0 

             25            5475             137               0 

             17            5475             138               0 

             25            5475             139               0 

             19            5475             140               0 

             13            5475             141               0 

             17            5475             142               0 

             19            5475             143               0 

             23            5475             144               0 

             11            5475             145               0 

             13            5475             146               0 

             19            5475             147               0 

             27            5475             148               0 

             27            5475             149               0 

             21            5475             150               0 

             19            5475             151               0 

             23            5475             152               0 

             25            5475             153               0 

             23            5475             154               0 

             21            5475             155               0 

             25            5475             156               0 

             23            5475             157               0 

             19            5475             158               0 

             17            5475             159               0 

             21            5475             160               0 

             19            5475             161               0 

             25            5475             162               0 

              7            5475             163               0 

             25            5475             164               0 

             23            5475             165               0 

             19            5475             166               0 

             23            5475             167               0 

             15            5475             168               0 

             27            5475             169               0 

             21            5475             170               0 

             15            5475             171               0 

             21            5475             172               0 

             27            5475             173               0 

             27            5475             174               0 

             19            5475             175               0 

             21            5475             176               0 

             15            5475             177               0 

             27            5475             178               0 

             23            5475             179               0 

             19            5475             180               0 

              9            5475             181               0 

             19            5475             182               0 

             25            5475             183               0 

             15            5475             184               0 

             15            5475             185               0 

             15            5475             186               0 

             21            5475             187               0 

             25            5475             188               0 

             25            5475             189               0 

             27            5475             190               0 

             19            5475             191               0 

