   BST_find |  BST_insert |     LSA_find |  LSA_insert | 

              1           15819               1               0 

              2           15819               2               0 

              2           15819               3               0 

              3           15819               4               0 

              3           15819               5               0 

              4           15819               6               0 

              4           15819               7               0 

              4           15819               8               0 

              3           15819               9               0 

              5           15819              10               0 

              5           15819              11               0 

              4           15819              12               0 

              5           15819              13               0 

              5           15819              14               0 

              6           15819              15               0 

              5           15819              16               0 

              7           15819              17               0 

              8           15819              18               0 

              6           15819              19               0 

              6           15819              20               0 

              5           15819              21               0 

              6           15819              22               0 

              6           15819              23               0 

              7           15819              24               0 

              7           15819              25               0 

              6           15819              26               0 

              8           15819              27               0 

              7           15819              28               0 

              7           15819              29               0 

              5           15819              30               0 

              7           15819              31               0 

              9           15819              32               0 

              7           15819              33               0 

              9           15819              34               0 

              8           15819              35               0 

              8           15819              36               0 

              8           15819              37               0 

              6           15819              38               0 

              5           15819              39               0 

              6           15819              40               0 

              8           15819              41               0 

              6           15819              42               0 

             10           15819              43               0 

              4           15819              44               0 

              8           15819              45               0 

              7           15819              46               0 

              6           15819              47               0 

              7           15819              48               0 

              7           15819              49               0 

              7           15819              50               0 

              7           15819              51               0 

              7           15819              52               0 

              8           15819              53               0 

              9           15819              54               0 

              8           15819              55               0 

              9           15819              56               0 

             10           15819              57               0 

              8           15819              58               0 

              8           15819              59               0 

             11           15819              60               0 

              7           15819              61               0 

              9           15819              62               0 

             10           15819              63               0 

             11           15819              64               0 

              7           15819              65               0 

             10           15819              66               0 

              6           15819              67               0 

              9           15819              68               0 

             11           15819              69               0 

              9           15819              70               0 

              6           15819              71               0 

              9           15819              72               0 

              6           15819              73               0 

             10           15819              74               0 

              8           15819              75               0 

              6           15819              76               0 

              5           15819              77               0 

              7           15819              78               0 

             12           15819              79               0 

              3           15819              80               0 

             11           15819              81               0 

              7           15819              82               0 

              8           15819              83               0 

             12           15819              84               0 

              9           15819              85               0 

              8           15819              86               0 

              9           15819              87               0 

              7           15819              88               0 

              8           15819              89               0 

              8           15819              90               0 

             10           15819              91               0 

              6           15819              92               0 

              9           15819              93               0 

             11           15819              94               0 

              9           15819              95               0 

              6           15819              96               0 

              8           15819              97               0 

              9           15819              98               0 

             13           15819              99               0 

             10           15819             100               0 

             11           15819             101               0 

              9           15819             102               0 

             12           15819             103               0 

              7           15819             104               0 

             11           15819             105               0 

             13           15819             106               0 

             10           15819             107               0 

              8           15819             108               0 

              8           15819             109               0 

              9           15819             110               0 

             10           15819             111               0 

              9           15819             112               0 

              9           15819             113               0 

             10           15819             114               0 

             12           15819             115               0 

              4           15819             116               0 

              9           15819             117               0 

             10           15819             118               0 

              7           15819             119               0 

             10           15819             120               0 

             11           15819             121               0 

             11           15819             122               0 

             11           15819             123               0 

             12           15819             124               0 

             10           15819             125               0 

             12           15819             126               0 

             12           15819             127               0 

              9           15819             128               0 

              9           15819             129               0 

             13           15819             130               0 

              4           15819             131               0 

             11           15819             132               0 

              7           15819             133               0 

              9           15819             134               0 

             10           15819             135               0 

              7           15819             136               0 

              9           15819             137               0 

             10           15819             138               0 

              4           15819             139               0 

             11           15819             140               0 

             10           15819             141               0 

             10           15819             142               0 

             11           15819             143               0 

              7           15819             144               0 

             10           15819             145               0 

             10           15819             146               0 

              8           15819             147               0 

             14           15819             148               0 

             14           15819             149               0 

             14           15819             150               0 

              8           15819             151               0 

             12           15819             152               0 

             13           15819             153               0 

             11           15819             154               0 

              5           15819             155               0 

              9           15819             156               0 

             11           15819             157               0 

             10           15819             158               0 

             10           15819             159               0 

             12           15819             160               0 

             14           15819             161               0 

              9           15819             162               0 

              5           15819             163               0 

             10           15819             164               0 

             10           15819             165               0 

             11           15819             166               0 

             11           15819             167               0 

              9           15819             168               0 

              8           15819             169               0 

              6           15819             170               0 

             12           15819             171               0 

             11           15819             172               0 

              8           15819             173               0 

             10           15819             174               0 

              8           15819             175               0 

              9           15819             176               0 

              8           15819             177               0 

             13           15819             178               0 

             10           15819             179               0 

              6           15819             180               0 

             11           15819             181               0 

             11           15819             182               0 

             10           15819             183               0 

             11           15819             184               0 

              8           15819             185               0 

             13           15819             186               0 

             11           15819             187               0 

              8           15819             188               0 

             12           15819             189               0 

             13           15819             190               0 

             13           15819             191               0 

             11           15819             192               0 

             13           15819             193               0 

             11           15819             194               0 

             10           15819             195               0 

              7           15819             196               0 

              7           15819             197               0 

              9           15819             198               0 

             12           15819             199               0 

             14           15819             200               0 

             10           15819             201               0 

              6           15819             202               0 

             14           15819             203               0 

             10           15819             204               0 

             12           15819             205               0 

              8           15819             206               0 

             14           15819             207               0 

             11           15819             208               0 

              6           15819             209               0 

             12           15819             210               0 

             11           15819             211               0 

              9           15819             212               0 

             11           15819             213               0 

             11           15819             214               0 

             13           15819             215               0 

             14           15819             216               0 

             10           15819             217               0 

              6           15819             218               0 

             11           15819             219               0 

              9           15819             220               0 

             12           15819             221               0 

             12           15819             222               0 

             13           15819             223               0 

             14           15819             224               0 

             14           15819             225               0 

             13           15819             226               0 

             12           15819             227               0 

             12           15819             228               0 

             15           15819             229               0 

             13           15819             230               0 

             11           15819             231               0 

             10           15819             232               0 

             13           15819             233               0 

             13           15819             234               0 

             11           15819             235               0 

             14           15819             236               0 

             14           15819             237               0 

              8           15819             238               0 

             10           15819             239               0 

              9           15819             240               0 

             12           15819             241               0 

             13           15819             242               0 

             14           15819             243               0 

             12           15819             244               0 

             11           15819             245               0 

             12           15819             246               0 

              9           15819             247               0 

             15           15819             248               0 

             10           15819             249               0 

             11           15819             250               0 

             14           15819             251               0 

             10           15819             252               0 

             15           15819             253               0 

             15           15819             254               0 

             12           15819             255               0 

             12           15819             256               0 

             14           15819             257               0 

             11           15819             258               0 

             10           15819             259               0 

             13           15819             260               0 

              8           15819             261               0 

             13           15819             262               0 

              9           15819             263               0 

             14           15819             264               0 

             15           15819             265               0 

             13           15819             266               0 

              9           15819             267               0 

              5           15819             268               0 

             10           15819             269               0 

              9           15819             270               0 

             16           15819             271               0 

             11           15819             272               0 

             11           15819             273               0 

             11           15819             274               0 

             15           15819             275               0 

             15           15819             276               0 

             11           15819             277               0 

             12           15819             278               0 

             11           15819             279               0 

              8           15819             280               0 

              8           15819             281               0 

             13           15819             282               0 

              9           15819             283               0 

             14           15819             284               0 

             12           15819             285               0 

             14           15819             286               0 

             16           15819             287               0 

             10           15819             288               0 

             10           15819             289               0 

             10           15819             290               0 

             16           15819             291               0 

             12           15819             292               0 

              9           15819             293               0 

             16           15819             294               0 

             14           15819             295               0 

             12           15819             296               0 

             10           15819             297               0 

             12           15819             298               0 

             11           15819             299               0 

              8           15819             300               0 

             11           15819             301               0 

             13           15819             302               0 

             12           15819             303               0 

             13           15819             304               0 

             12           15819             305               0 

             12           15819             306               0 

             14           15819             307               0 

             10           15819             308               0 

              7           15819             309               0 

             17           15819             310               0 

             14           15819             311               0 

              8           15819             312               0 

              7           15819             313               0 

              8           15819             314               0 

             15           15819             315               0 

             15           15819             316               0 

             12           15819             317               0 

             10           15819             318               0 

              7           15819             319               0 

             14           15819             320               0 

             11           15819             321               0 

             14           15819             322               0 

              9           15819             323               0 

             15           15819             324               0 

             15           15819             325               0 

             13           15819             326               0 

             12           15819             327               0 

             16           15819             328               0 

              9           15819             329               0 

             11           15819             330               0 

             10           15819             331               0 

             13           15819             332               0 

             12           15819             333               0 

             13           15819             334               0 

             10           15819             335               0 

             13           15819             336               0 

              9           15819             337               0 

             13           15819             338               0 

             11           15819             339               0 

             14           15819             340               0 

             15           15819             341               0 

             11           15819             342               0 

             15           15819             343               0 

             12           15819             344               0 

             11           15819             345               0 

             16           15819             346               0 

             11           15819             347               0 

             11           15819             348               0 

              7           15819             349               0 

             13           15819             350               0 

              8           15819             351               0 

             10           15819             352               0 

             12           15819             353               0 

             13           15819             354               0 

              7           15819             355               0 

             11           15819             356               0 

             13           15819             357               0 

             13           15819             358               0 

             12           15819             359               0 

             10           15819             360               0 

              8           15819             361               0 

             12           15819             362               0 

             12           15819             363               0 

             11           15819             364               0 

             13           15819             365               0 

             10           15819             366               0 

             16           15819             367               0 

             15           15819             368               0 

              9           15819             369               0 

             14           15819             370               0 

             15           15819             371               0 

             13           15819             372               0 

             13           15819             373               0 

             11           15819             374               0 

             16           15819             375               0 

             11           15819             376               0 

             15           15819             377               0 

             12           15819             378               0 

             13           15819             379               0 

             16           15819             380               0 

             13           15819             381               0 

              5           15819             382               0 

              8           15819             383               0 

             12           15819             384               0 

             12           15819             385               0 

             14           15819             386               0 

             17           15819             387               0 

              9           15819             388               0 

             14           15819             389               0 

             12           15819             390               0 

             14           15819             391               0 

             10           15819             392               0 

              9           15819             393               0 

             11           15819             394               0 

              7           15819             395               0 

             15           15819             396               0 

             11           15819             397               0 

             14           15819             398               0 

             12           15819             399               0 

             13           15819             400               0 

             10           15819             401               0 

             12           15819             402               0 

             17           15819             403               0 

             13           15819             404               0 

             13           15819             405               0 

             10           15819             406               0 

              9           15819             407               0 

              9           15819             408               0 

             17           15819             409               0 

             13           15819             410               0 

             14           15819             411               0 

             15           15819             412               0 

             16           15819             413               0 

             11           15819             414               0 

             17           15819             415               0 

              7           15819             416               0 

             16           15819             417               0 

             12           15819             418               0 

             12           15819             419               0 

              9           15819             420               0 

             12           15819             421               0 

             15           15819             422               0 

             16           15819             423               0 

             16           15819             424               0 

              9           15819             425               0 

             11           15819             426               0 

             17           15819             427               0 

             13           15819             428               0 

             10           15819             429               0 

              6           15819             430               0 

             14           15819             431               0 

             17           15819             432               0 

             18           15819             433               0 

             13           15819             434               0 

             11           15819             435               0 

             18           15819             436               0 

             10           15819             437               0 

             11           15819             438               0 

             17           15819             439               0 

             13           15819             440               0 

             10           15819             441               0 

              8           15819             442               0 

             14           15819             443               0 

             19           15819             444               0 

             16           15819             445               0 

             14           15819             446               0 

             11           15819             447               0 

             11           15819             448               0 

             12           15819             449               0 

             15           15819             450               0 

             12           15819             451               0 

             13           15819             452               0 

